,Advertiser_ID,Advertiser_Name,Total_Creatives,Spend_USD,Regions,Elections
90,AR107541926642712576,JANET BARRESI FOR CONGRESS,1,600,US,US-Federal
91,AR107555258221199360,"MARESH, WILLIAM HOUSE COMMITTEE",8,2700,US,US-Federal
92,AR107675860902871040,BENSALEM TOWNSHIP REPUBLICAN EXECUTIVE COMMITTEE,7,7500,US,US-Federal
93,AR107815705038028800,MIKE GIALLOMBARDO CAMPAIGN,5,1800,US,US-Federal
94,AR107922873061998592,"AMERICAN MOMENT, INC.",7,2400,US,US-Federal
95,AR107930363484962816,REPUBLICAN ADS LLC,22,800,US,US-Federal
96,AR108117864577236992,SUNNY CHAPARALA FOR CONGRESS,28,4100,US,US-Federal
98,AR108481940364984320,BIDEN FOR PRESIDENT,58365,83734200,US,US-Federal
99,AR108578491229798400,"FWD.US, INC.",41,48600,US,US-Federal
100,AR108606803654213632,MURPHY FOR MINNESOTA,3,400,US,US-Federal
101,AR10873551523414016,FRIENDS OF STEVE MENTZER,11,600,US,US-Federal
102,AR10877331094634496,COLORADO CITIZENS FOR ACCOUNTABLE GOVERNMENT,113,52400,US,US-Federal
103,AR108828217808257024,TONY TINDERHOLT FOR TEXAS,18,12500,US,US-Federal
105,AR109084404017528832,DFL SENATE CAUCUS,97,67500,US,US-Federal
106,AR109184597014609920,JEN2020,83,7600,US,US-Federal
107,AR109214489986990080,CORY BOOKER FOR SENATE,72,13000,US,US-Federal
108,AR10924747533582336,HELLER FOR SENATE,516,258500,US,US-Federal
110,AR109454389680275456,NEHLS FOR CONGRESS,32,1700,US,US-Federal
112,AR109562966453518336,MARK LAXER,5,300,US,US-Federal
113,AR109607840271826944,LIVE ACTION INC.,4,3600,US,US-Federal
115,AR109649346835775488,DANA OUTLAW FOR CONGRESS,15,1600,US,US-Federal
116,AR109675047920074752,CINDY AXNE FOR CONGRESS,104,4500,US,US-Federal
117,AR109689375930974208,TORRES AND CHRISTIE 2021,7,900,US,US-Federal
119,AR109931405928038400,MIKE DUGGAN FOR DETROIT CANDIDATE COMMITTEE,2,200,US,US-Federal
120,AR109939068149694464,CENTER FORWARD,31,36600,US,US-Federal
121,AR110003939335733248,"45COMMITTEE, INC.",3,12900,US,US-Federal
122,AR110089185846624256,"EVERYTOWN FOR GUN SAFETY SUPPORT FUND, INC.",5,7300,US,US-Federal
123,AR110133406829903872,HFC INC,39,177500,US,US-Federal
125,AR110277717731049472,LEAGUE OF CONSERVATION VOTERS ACTION FUND,10,96500,US,US-Federal
126,AR110279573156921344,SENATE LEADERSHIP FUND,29,367200,US,US-Federal
127,AR110382858530455552,COMMITTEE TO ELECT TEDRA COBB,33,41000,US,US-Federal
129,AR110736695116169216,COMMUNITY VOICES SAN DIEGO,1,0,US,US-Federal
130,AR110757448398143488,MATT MAYBERRY FOR CONGRESS,4,2800,US,US-Federal
133,AR110925811116146688,COMMITTEE TO ELECT ERIC NELSON,8,2100,US,US-Federal
135,AR11132211633848320,USA MOVEMENTS LLC,4,800,US,US-Federal
136,AR111332149382086656,DELGADO FOR CONGRESS,32,18400,US,US-Federal
137,AR111396402092834816,ARLINGTON COUNTY DEMOCRATIC COMMITTEE,11,4800,US,US-Federal
138,AR111460586084106240,DIANE FOR COLORADO CD3,13,47700,US,US-Federal
141,AR111589057145864192,REP. ANN WAGNER - U.S. HOUSE OF REPRESENTATIVES,4,1900,US,US-Federal
142,AR111616510576820224,FRIENDS OF GINA RAIMONDO,21,7800,US,US-Federal
144,AR111703784312274944,NEVADA STATE DEMOCRATIC PARTY,33,0,US,US-Federal
146,AR111828647601504256,TRUE BLUE MEDIA LLC,2,300,US,US-Federal
147,AR11183819960877056,FRIENDS OF F MICHAEL HIGGINBOTHAM,4,1100,US,US-Federal
148,AR111864106851500032,FRIENDS OF KAREN S SMYTHE,39,6500,US,US-Federal
149,AR111940351110938624,JASON MINNICOZZI FOR CONGRESS,2,1000,US,US-Federal
150,AR111944714797711360,NEED TO IMPEACH,97,38100,US,US-Federal
151,AR112004294584041472,GERRIT MORA,1,0,US,US-Federal
152,AR11202168061165568,THE SEMINAR NETWORK CHAMBER OF COMMERCE INC,3,1900,US,US-Federal
153,AR112058857848569856,COMMITTEE TO ELECT KIMYA M HOLMES,1,100,US,US-Federal
154,AR112255739149418496,MATT ROSENDALE FOR MONTANA,40,24900,US,US-Federal
155,AR112555630945894400,DR MANNY FOR US SENATE,67,14100,US,US-Federal
157,AR112638712793268224,VOTE RAWLINGS,41,500,US,US-Federal
159,AR1128098930098176,PATRICK MURPHY FOR CONGRESS,10,5500,US,US-Federal
160,AR112924688895705088,Mike Moon for Congress,3,900,US,US-Federal
162,AR113035292893511680,"YES ON E, SAN FRANCISCANS FOR THE ARTS",4,3200,US,US-Federal
163,AR113155139660939264,GROHMAN FOR CONGRESS,3,1900,US,US-Federal
164,AR113425619521372160,COMMITTEE TO ELECT RICHARD OJEDA,19,2800,US,US-Federal
165,AR11359123346030592,PETERS FOR ILLINOIS,10,7900,US,US-Federal
166,AR1137238620504064,"MACMILLAN HOLDINGS, LLC",3,9300,US,US-Federal
168,AR113926790665207808,SAN DIEGO COUNTY DEMOCRATIC PARTY,5,500,US,US-Federal
169,AR114114394836697088,A BETTER STAMFORD,50,1300,US,US-Federal
171,AR114200431621570560,IP 44,12,2600,US,US-Federal
172,AR114507538963103744,KUSTOFF FOR CONGRESS,4,4900,US,US-Federal
173,AR114523413162229760,MAXWELL RYMER,2,1500,US,US-Federal
176,AR114794992534290432,WISCONSIN REALTORS ADVOCACY FUND,2,10400,US,US-Federal
177,AR114807087162195968,"CASA IN ACTION, INC.",783,163700,US,US-Federal
178,AR114816158133125120,CITIZENS TO ELECT STEVEN REICK,2,1600,US,US-Federal
179,AR114889550534279168,N2 AMERICA INC.,2,8600,US,US-Federal
180,AR114917038324973568,PURPLE PAC,5,17000,US,US-Federal
181,AR114966756866392064,REP. ROGER WILLIAMS - U.S. HOUSE OF REPRESENTATIVES,5,3300,US,US-Federal
182,AR115005549011009536,OKLAHOMANS UNITED AGAINST 805,3,1700,US,US-Federal
183,AR11501097784967168,FRIENDS OF ROB ASTORINO,5,12300,US,US-Federal
185,AR115333890670854144,A STRONGER MICHIGAN,30,17100,US,US-Federal
186,AR115381994304569344,MAJORITY FORWARD,14,67400,US,US-Federal
188,AR115663469281280000,ELECT NATHAN BROWN FOR UTAH HOUSE,7,800,US,US-Federal
190,AR115883234167881728,COALITION FOR GREEN CAPITAL ACTION FUND,39,10100,US,US-Federal
191,AR115992360696938496,BOGNET FOR CONGRESS,2,3600,US,US-Federal
192,AR116012529863360512,CHRISTOPHER CHARLES STAVROS,1,100,US,US-Federal
195,AR116209789121331200,ANNA KAPLAN FOR NY STATE SENATE,1,2600,US,US-Federal
196,AR11633588936114176,CITIZENS TO RETAIN JUDGE RICHARD TITUS,1,400,US,US-Federal
197,AR116516759023910912,GEORGIA LIFE ALLIANCE COMMITTEE INC,28,7600,US,US-Federal
198,AR116668422909067264,CALLIE4CU,7,1500,US,US-Federal
199,AR116670759371276288,FRIENDS OF PATTY SMITH,3,800,US,US-Federal
200,AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,43,13100,US,US-Federal
201,AR116769577978822656,SEIU LOCAL 2015,4,43400,US,US-Federal
202,AR116834449164861440,COMMITTEE TO ELECT KIM MANGONE FOR CONGRESS,10,8300,US,US-Federal
203,AR116861627717910528,"UNITED WE DREAM NETWORK, INC.",36,11100,US,US-Federal
204,AR117004667308736512,BOATMAN FOR CONGRESS,9,400,US,US-Federal
205,AR117013669560188928,SUE SGAMBELLURI FOR CITY COUNCIL,1,0,US,US-Federal
207,AR117101493051457536,GRAVIS MARKETING INC,30,3600,US,US-Federal
208,AR117165264725868544,LINDSAY TAUSCH,2,1000,US,US-Federal
209,AR117183337948250112,"UNICORN WEALTH, LLC",486,415000,US,US-Federal
210,AR117224775792721920,JAVIER FOR ARIZONA,13,300,US,US-Federal
211,AR117256661629927424,FRIENDS OF MAZI MAZLOOM,1,100,US,US-Federal
212,AR11739623088717824,POOLHOUSE AGENCY LLC,12,300,US,US-Federal
215,AR117492094557224960,OHIO SECRETARY OF STATE,13,243600,US,US-Federal
216,AR117512847839199232,ROSS SPANO FOR CONGRESS,18,27600,US,US-Federal
217,AR117515184301408256,VALERIE GAYDOS,2,3100,US,US-Federal
219,AR117614002908954624,COMMITTEE TO ELECT DONNA LASINSKI,1,1400,US,US-Federal
220,AR117634068996161536,VOLUNTEERS FOR KELLY MOLLER,11,4500,US,US-Federal
222,AR117681210557202432,SYKES FOR SENATE,2,1500,US,US-Federal
225,AR117800610648031232,DR SCOTT JENSEN FOR GOVERNOR,3,3300,US,US-Federal
226,AR117808960064454656,TROY BRIMAGE FOR STATE REP,21,3600,US,US-Federal
229,AR118215985525161984,"TEXAS LAW SHIELD, LLC",33,4100,US,US-Federal
231,AR118228870427049984,JULIA FOR QUEENS,5,200,US,US-Federal
232,AR118424102460456960,PAUL FERMO FOR CONGRESS,3,100,US,US-Federal
233,AR118482960692281344,MOWERS FOR CONGRESS,39,11200,US,US-Federal
234,AR118541234808553472,GEORGE W. HINDMAN FOR CONGRESS,36,4600,US,US-Federal
235,AR118595523195174912,ROHRABACHER FOR CONGRESS,2,72500,US,US-Federal
236,AR118619506292555776,TAKEACTION MINNESOTA,29,9700,US,US-Federal
238,AR118759694025097216,CARLUCCI FOR CONGRESS,6,2200,US,US-Federal
239,AR118947263836848128,John Cranley Committee,2,200,US,US-Federal
240,AR119011138590474240,WICKER FOR SENATE,292,21800,US,US-Federal
241,AR119350612805550080,MATT COX FOR NC SENATE,2,100,US,US-Federal
242,AR119372259440721920,ROCKY MOUNTAIN WOLF ACTION FUND,6,38700,US,US-Federal
244,AR119459052139839488,MONEY GAME VENTURES LLC,8,400,US,US-Federal
245,AR11949423651192832,DEMOCRATIC PARTY OF OREGON,8,1200,US,US-Federal
246,AR119554297334595584,CAM CAVASSO 4 CONGRESS,13,3000,US,US-Federal
247,AR119705239665246208,MAYA FOR MAYOR INC,5,69900,US,US-Federal
248,AR119780728010440704,THE GEORGIA WAY,1,61100,US,US-Federal
249,AR119804367510437888,KEEP JUDGE REUBEN YOUNG,3,400,US,US-Federal
250,AR119915349465366528,STEVE ALM FOR PROSECUTOR,2,0,US,US-Federal
251,AR120137038497316864,BOB CASEY FOR SENATE INC,107,433700,US,US-Federal
252,AR120181018962427904,CHRISSY HOULAHAN FOR CONGRESS,89,2000,US,US-Federal
253,AR120316293252382720,FAULCONER FOR GOVERNOR 2022,17,24500,US,US-Federal
254,AR120435315386089472,FIRST LIBERTY INSTITUTE,2,114500,US,US-Federal
255,AR12050647440424960,ANGIE CRAIG FOR CONGRESS,66,155700,US,US-Federal
256,AR120759774395498496,SCOTT FITZGERALD FOR CONGRESS,4,1900,US,US-Federal
257,AR12080952729665536,COMMITTEE TO ELECT JOHN DAMOOSE FOR STATE REPRESENTATIVE,14,6800,US,US-Federal
258,AR120814887415840768,THOM TILLIS COMMITTEE,8,4700,US,US-Federal
259,AR120847323008860160,CONSERVATIVE BUZZ LLC,6475,5361800,US,US-Federal
260,AR12094627905536000,AMMAR CAMPA-NAJJAR FOR CONGRESS,38,80000,US,US-Federal
261,AR120948512438353920,PETE FOR GOVERNOR,64,47500,US,US-Federal
262,AR12117477131550720,SHARIF STREET FOR PA,1,400,US,US-Federal
263,AR121262938404159488,GREAT AMERICA PAC,392,15000,US,US-Federal
264,AR121273177606193152,FRIENDS OF MATT PINNELL 2018,6,1000,US,US-Federal
265,AR121290907231191040,PROGRESS MICHIGAN EDUCATION,5,34900,US,US-Federal
266,AR121357702562578432,HOMEOWNERS AND TENANTS UNITED,722,364300,US,US-Federal
267,AR121571557574180864,GEORGIA ACTION FUND,38,2063300,US,US-Federal
268,AR121627632667197440,AFSCME - PEOPLE,13,97700,US,US-Federal
269,AR121644949975334912,FRIENDS OF SYDNEY BATCH,2,13900,US,US-Federal
270,AR121754007784914944,TEXANS FOR JIM GRIFFIN,13,6600,US,US-Federal
271,AR121760948452065280,FRIENDS OF JOE RUBAY FOR ASSEMBLY 2020,3,700,US,US-Federal
272,AR122089290111909888,RECLAIMTHEAMERICANDREAM ORG,68,25300,US,US-Federal
274,AR122166943120621568,LOIS FRANKEL FOR CONGRESS,3,3500,US,US-Federal
275,AR122316957738336256,ESMERALDA SORIA FOR CONGRESS,2,1700,US,US-Federal
276,AR122339016690368512,JESSICA KING FOR WISCONSIN,8,30500,US,US-Federal
279,AR12243783529791488,SERVICE EMPLYEES INTERNATIONAL 1199 W VA & KY HOSPITAL CARE,4,1200,US,US-Federal
280,AR122506142457790464,ARIZONA FAMILIES FIRST,26,110800,US,US-Federal
282,AR1226024184446976,CHRIS WARD FOR ASSEMBLY 2020,70,47900,US,US-Federal
283,AR1226161623400448,"BILL DODD BALLOT MEASURE COMMITTEE FOR PROGRESS, REFORM & A STRONGER CALIFORNIA",6,19900,US,US-Federal
284,AR12273917020340224,STAUSH GRUSZYNSKI,4,100,US,US-Federal
286,AR1228360646656000,MORE TREATMENT FOR A BETTER OREGON: YES ON 110,16,88500,US,US-Federal
288,AR123053424370515968,FRIENDS OF TIMOTHY H BESON,4,1700,US,US-Federal
289,AR12336554823385088,CASE ACTION FUND,2,2300,US,US-Federal
290,AR123368228293443584,LYNN AFENDOULIS FOR CONGRESS,17,2700,US,US-Federal
291,AR123455089712037888,MICHAEL WALTZ FOR CONGRESS,7,600,US,US-Federal
293,AR123635684496900096,"GOP SCOUTS, INC.",424,13900,US,US-Federal
294,AR123769069001244672,"FRIENDS OF TODD YOUNG, INC.",30,4800,US,US-Federal
295,AR123812740228710400,SARAH FOR WISCONSIN INC,16,11000,US,US-Federal
296,AR123906061278117888,LEGISLATIVE MAJORITY PAC,4,28200,US,US-Federal
297,AR124024842893656064,"NUCLEARBAN.US, INC.",9,0,US,US-Federal
298,AR124245844730839040,RURAL AMERICA FUND D/B/A RURAL AMERICA 2020,11,22000,US,US-Federal
299,AR124309891283156992,DREW SPRINGER JR.,11,14800,US,US-Federal
300,AR124322535666876416,COLORADANS PROTECTING WILDLIFE,7,76300,US,US-Federal
303,AR124650877326721024,Nikki Fried for Florida,28,42000,US,US-Federal
306,AR124753131908104192,CITIZENS FOR TODD EACHUS,39,1700,US,US-Federal
307,AR124792370729320448,AMERICAN LEADERSHIP COMMITTEE,173,124200,US,US-Federal
309,AR124854905453150208,FRIENDS OF EARL GRANVILLE,12,1600,US,US-Federal
310,AR124928091695874048,PALZEWICZ FOR WISCONSIN,25,11600,US,US-Federal
312,AR124967880272904192,FRIENDS FOR THORNTON,12,900,US,US-Federal
313,AR124971384966217728,VOTEMATTNIELSEN,3,1000,US,US-Federal
315,AR12505501656940544,DONNA SCHAIBLEY FOR STATE REPRESENTATIVE,1,2200,US,US-Federal
316,AR125066011685683200,PETER MATHEWS FOR CONGRESS,1,0,US,US-Federal
317,AR12509865343713280,REP. TJ COX - U.S. HOUSE OF REPRESENTATIVES,184,17000,US,US-Federal
318,AR125152392067940352,LATINO VOTE FOR AMERICA PAC,28,8000,US,US-Federal
319,AR125281515964727296,DICKINSON FOR CONGRESS COMMITTEE,10,4900,US,US-Federal
320,AR125492931434905600,PUBLIC GOOD PROJECTS,1,0,US,US-Federal
321,AR125541309946527744,MANDELA BARNES FOR WISCONSIN,18,35600,US,US-Federal
322,AR125556325152194560,MICHIGAN FREEDOM NETWORK,9,5900,US,US-Federal
323,AR125563609416728576,FRIENDS OF MONIQUE SMITH,3,500,US,US-Federal
324,AR125746952980660224,REBEKAH FOR NEWTOWN 2020,9,2400,US,US-Federal
325,AR125830103547510784,JESSE JENSEN FOR CONGRESS,7,7900,US,US-Federal
326,AR125861577067855872,MARY GIULIANI STEPHENS,3,1100,US,US-Federal
327,AR126043958559113216,CALIFORNIA ALLIANCE FOR JOBS,63,2600,US,US-Federal
329,AR126138653998055424,COMMITTEE TO ELECT CINDY BERNE 2020,42,5100,US,US-Federal
330,AR126183562176102400,FUND FOR A BETTER FUTURE INC.,17,291200,US,US-Federal
331,AR12623974034833408,PRESERVE PROTECT AND DEFEND PAC,69,34200,US,US-Federal
332,AR126301244280012800,TASK FORCE GRIGGS FOR CONGRESS,3,0,US,US-Federal
333,AR126374499242213376,"A BETTER WISCONSIN TOGETHER INSTITUTE, INC.",2,1500,US,US-Federal
335,AR126499293811965952,AMERICAN JOBS AND GROWTH PAC,4,400,US,US-Federal
336,AR126546297934053376,DAVID FOX,2,100,US,US-Federal
337,AR126621202163695616,JOSH HICKS FOR CONGRESS,74,31400,US,US-Federal
339,AR126754861545947136,RE-ELECT JAMES SIMON COMMITTEE,3,400,US,US-Federal
340,AR126908312137498624,FRIENDS OF KIM WALLAN,4,1500,US,US-Federal
341,AR127038054509576192,FRIENDS OF SARA TINDALL GHAZAL,12,15300,US,US-Federal
343,AR127305510713032704,FRIENDS OF ELIZABETH MADEIRA,23,11100,US,US-Federal
344,AR127323446496460800,FRIENDS OF GEORGE FLINN,17,5900,US,US-Federal
345,AR127338633500819456,ASHLEY HINSON FOR CONGRESS,52,17200,US,US-Federal
346,AR127351655841660928,REP. JODY HICE - U.S. HOUSE OF REPRESENTATIVES,4,300,US,US-Federal
347,AR127409689439764480,57TH SENATE DISTRICT RPM,4,1500,US,US-Federal
348,AR127494283115626496,STEFAN FOR CONGRESS,2,700,US,US-Federal
349,AR127552247994253312,JASON CLARK,1,100,US,US-Federal
350,AR12758595489759232,GOLD SKY VENTURES LLC,12,5100,US,US-Federal
351,AR127647836786393088,OREGON HISTORY PAC,1,6800,US,US-Federal
352,AR127771703643209728,BETTER WORLD GROUP ADVISORS,1,1000,US,US-Federal
354,AR127967141835046912,MISSOURI FORWARD PAC,6,1400,US,US-Federal
355,AR128018337845215232,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,8367,15905100,US,US-Federal
357,AR128081903361196032,UNLOCK MICHIGAN,1,2100,US,US-Federal
358,AR128295758372798464,MISSOURI STATE DEMOCRATIC COMMITTEE,3,1100,US,US-Federal
359,AR128326785216544768,SEAN PERRYMAN FOR VIRGINIA,104,13900,US,US-Federal
360,AR128452713657663488,CYNDI OTTESON FOR CITY COUNCIL 2020,19,4800,US,US-Federal
361,AR128727179247747072,"A BRIGHTER, HEALTHIER FUTURE FOR COLORADO'S KIDS",207,151600,US,US-Federal
362,AR128771846907625472,LYNDA BENNETT FOR CONGRESS,3,900,US,US-Federal
363,AR128797891589308416,FUTURE45,2,17600,US,US-Federal
364,AR129006661359632384,NATIONAL WILDLIFE FEDERATION,5,10500,US,US-Federal
365,AR12902425354567680,"CALIFORNIANS FOR EQUAL RIGHTS, NO ON 16",92,394900,US,US-Federal
366,AR129171931701182464,EILEEN KIELY FOR OREGON,10,17900,US,US-Federal
367,AR129174543041298432,SEAN REYES FOR ATTORNEY GENERAL,10,22000,US,US-Federal
368,AR129188218217168896,THE REPUBLICAN PARTY OF WISCONSIN,3,29300,US,US-Federal
371,AR129247454406115328,MCSHANE FOR SUPERVISOR 2020,1,1200,US,US-Federal
372,AR129351942370492416,CIATTARELLI FOR GOVERNOR,8,84200,US,US-Federal
373,AR129367507331973120,KARYN MAYNARD,14,1700,US,US-Federal
374,AR129396163353772032,JOHN BELL FOR STATE SENATE,14,57000,US,US-Federal
377,AR129586550664069120,SUSAN WRIGHT FOR CONGRESS,2,1400,US,US-Federal
379,AR129603455655346176,REP. RALPH NORMAN - U.S. HOUSE OF REPRESENTATIVES,17,3800,US,US-Federal
380,AR129717564346466304,ERIC COATS,1,5200,US,US-Federal
382,AR129928223902400512,CENTENNIAL STATE PROSPERITY,1,100,US,US-Federal
383,AR12998976219381760,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,40,30700,US,US-Federal
384,AR13000625486823424,"SALEM WEB NETWORK, LLC",137,545200,US,US-Federal
385,AR130270137658900480,WALTERS FOR CONGRESS,42,3400,US,US-Federal
386,AR130280376860934144,"CALIFORNIANS FOR SAFE SCHOOLS AND HEALTHY LEARNING, YES ON PROP 13, A COMMITTEE SUPPORTED BY GOVERNOR NEWSOM, TE",28,153400,US,US-Federal
387,AR130300168070234112,HUDSON FOR CONGRESS,32,36800,US,US-Federal
388,AR130306833859477504,FRIENDS OF DANIEL SPARKMAN,19,300,US,US-Federal
389,AR130338994574589952,PRAGER UNIVERSITY FOUNDATION,108,955000,US,US-Federal
391,AR130593428437204992,ERIC DINOWITZ FOR COUNCIL,1,300,US,US-Federal
392,AR130922182413910016,END CITIZENS UNITED// LET AMERICA VOTE ACTION FUND,184,512300,US,US-Federal
394,AR131396037565743104,MIKE BISHOP FOR CONGRESS,19,38900,US,US-Federal
395,AR131464344725618688,FRIENDS FOR JEN KIGGANS,12,1300,US,US-Federal
396,AR131478981974163456,JOSIAH HILL FOR SENATE,34,4300,US,US-Federal
397,AR131603501666009088,KATE BROPHY MCGEE AZ - SENATE,41,58600,US,US-Federal
398,AR131641366097690624,FRIENDS OF VENNIA FRANCOIS FOR CONGRESS,4,2700,US,US-Federal
400,AR131699502775009280,ANITA FOR ARIZONA,27,10000,US,US-Federal
401,AR131714208743030784,RATLIFF ENTERPRISES,3,200,US,US-Federal
402,AR131738191840411648,"SAN FRANCISCANS FOR A FAIR RECOVERY, YES ON I & K",2,2200,US,US-Federal
403,AR131741627814248448,LAWRENCE B LEVIT,1,100,US,US-Federal
404,AR13176547347267584,PENSLER FOR SENATE,78,55000,US,US-Federal
